lI (205844) sensors;205662185;A;0.022246;-0.000497;-0.046312;3.000000
lI (205864) sensors;205682252;A;-0.016632;-0.014057;0.026759;3.000000
lI (205884) sensors;205702561;A;-0.016632;-0.014057;0.026759;3.000000
lI (205904) sensors;205722279;A;0.020281;-0.001322;0.027878;3.000000
lI (205924) sensors;205742446;A;0.021211;-0.000931;-0.007267;3.000000
lI (205944) sensors;205762089;A;-0.015702;-0.013666;-0.008382;3.000000
lI (205964) sensors;205782333;A;-0.027170;0.019568;-0.008315;3.000000
lI (205984) sensors;205802307;A;0.021211;-0.000932;-0.007266;3.000000
lI (206004) sensors;205822252;A;0.021211;-0.000932;-0.007266;3.000000
lI (206024) sensors;205842063;A;-0.015702;-0.013667;-0.008380;3.000000
lI (206044) sensors;205862075;A;-0.015702;-0.013667;-0.008380;3.000000
lI (206064) sensors;205881964;A;-0.015702;-0.013667;-0.008380;3.000000
lI (206084) sensors;205902001;A;-0.015702;-0.013667;-0.008380;3.000000
lI (206104) sensors;205922026;A;-0.015702;-0.013667;-0.008380;3.000000
lI (206124) sensors;205941857;A;-0.015702;-0.013667;-0.008380;3.000000
lI (206149) sensors;205961895;A;-0.028097;0.019181;0.026825;3.000000
lI (206164) sensors;205981941;A;0.021211;-0.000932;-0.007266;3.000000
lI (206184) sensors;206001798;A;0.008816;0.031916;0.027939;3.000000
lI (206204) sensors;206021772;A;0.021211;-0.000932;-0.007266;3.000000
lI (206224) sensors;206041756;A;0.021210;-0.000932;-0.007269;3.000000
lI (206244) sensors;206061675;A;0.021210;-0.000932;-0.007269;3.000000
lI (206264) sensors;206081639;A;0.009742;0.032302;-0.007206;3.000000
lI (206284) sensors;206101577;A;0.020287;-0.001318;0.027874;3.000000
lI (206304) sensors;206121421;A;0.013827;-0.003479;-0.007491;3.000000
lI (206324) sensors;206141507;A;-0.024008;-0.016600;0.026543;3.000000
lI (206344) sensors;206161293;A;-0.024012;-0.016600;0.026540;3.000000
lI (206349) sensors;206171110;P;0.000000;0.000000;-17.000000;4294967.500000
lI (206349) sensors;206171110;S;0.000000;0.000000;171.171997
lI (206364) sensors;206181280;A;0.012901;-0.003865;0.027654;3.000000
lI (206384) sensors;206201499;A;0.002566;0.029841;-0.015236;3.000000
lI (206404) sensors;206221181;A;-0.022878;-0.016128;-0.016413;3.000000
lI (206424) sensors;206241284;A;-0.022878;-0.016130;-0.016411;3.000000
lI (206444) sensors;206261228;A;-0.023806;-0.016512;0.018732;3.000000
lI (206464) sensors;206281136;A;0.014035;-0.003395;-0.015298;3.000000
lI (206484) sensors;206301182;A;-0.034346;0.017104;-0.016353;3.000000
lI (206504) sensors;206321145;A;0.014035;-0.003395;-0.015298;3.000000
lI (206524) sensors;206341024;A;0.014035;-0.003395;-0.015298;3.000000
lI (206544) sensors;206360903;A;0.013107;-0.003777;0.019845;3.000000
lI (206564) sensors;206380900;A;-0.022878;-0.016130;-0.016411;3.000000
lI (206584) sensors;206401008;A;0.013829;-0.003480;-0.007487;3.000000
lI (206599) sensors;206420274;A;0.001429;0.029372;0.027713;3.000000
lI (206624) sensors;206440820;A;-0.023083;-0.016215;-0.008605;3.000000
lI (206644) sensors;206460829;A;0.013829;-0.003480;-0.007487;3.000000
lI (206664) sensors;206480744;A;-0.023083;-0.016215;-0.008605;3.000000
lI (206684) sensors;206500689;A;-0.024015;-0.016597;0.026538;3.000000
lI (206704) sensors;206520638;A;-0.022876;-0.016130;-0.016414;3.000000
lI (206719) sensors;206540427;A;0.014036;-0.003395;-0.015296;3.000000
lI (206744) sensors;206560574;A;0.014036;-0.003395;-0.015296;3.000000
lI (206759) sensors;206580434;A;-0.034344;0.017104;-0.016357;3.000000
lI (206779) sensors;206600452;A;0.013829;-0.003480;-0.007487;3.000000
lI (206799) sensors;206620418;A;-0.023083;-0.016215;-0.008605;3.000000
lI (206819) sensors;206639820;A;0.013829;-0.003480;-0.007487;3.000000
lI (206839) sensors;206660375;A;0.013829;-0.003480;-0.007487;3.000000
lI (206859) sensors;206680352;A;-0.034550;0.017019;-0.008551;3.000000
lI (206884) sensors;206700206;A;0.002362;0.029755;-0.007428;3.000000
lI (206899) sensors;206720206;A;0.001426;0.029371;0.027714;3.000000
lI (206919) sensors;206740135;A;0.013830;-0.003480;-0.007485;3.000000
lI (206944) sensors;206760058;A;0.013830;-0.003480;-0.007485;3.000000
lI (206964) sensors;206779792;A;0.013830;-0.003480;-0.007485;3.000000
lI (206979) sensors;206799991;A;-0.024019;-0.016598;0.026535;3.000000
