lI (342734) sensors;342553276;U;0.745983;B;119.937225
lI (342739) sensors;342560081;O;-0.018738;-0.011047;-0.444763;0.895386
lI (342739) sensors;342560062;A;0.089406;0.082599;0.000602
lI (342759) sensors;342579888;O;-0.019470;-0.010742;-0.444458;0.895508
lI (342764) sensors;342579831;A;0.049571;0.093168;-0.074427
lI (342779) sensors;342599949;O;-0.019836;-0.011047;-0.444031;0.895691
lI (342779) sensors;342602852;B;119.937225
lI (342784) sensors;342600069;A;-0.062648;0.063074;-0.151582
lI (342799) sensors;342619773;O;-0.019836;-0.011414;-0.443726;0.895874
lI (342799) sensors;342619892;A;-0.068927;0.060038;-0.112432
lI (342819) sensors;342639928;O;-0.019775;-0.011414;-0.443848;0.895813
lI (342819) sensors;342639846;A;-0.030276;-0.001866;-0.070389
lI (342834) sensors;342653219;U;0.745391
lI (342839) sensors;342659852;O;-0.019897;-0.010925;-0.444275;0.895630
lI (342844) sensors;342659784;A;0.032015;-0.007993;0.043439
lI (342859) sensors;342679899;O;-0.020508;-0.010193;-0.444641;0.895447
lI (342859) sensors;342679881;A;0.117727;0.047104;0.040859
lI (342879) sensors;342699598;O;-0.021118;-0.009644;-0.444702;0.895386
lI (342879) sensors;342699720;A;0.075401;0.060605;-0.034213
lI (342884) sensors;342704006;B;119.914215
lI (342899) sensors;342719564;O;-0.021362;-0.009338;-0.444458;0.895508
lI (342904) sensors;342719639;A;0.027109;0.012858;-0.063230
lI (342919) sensors;342739636;O;-0.021240;-0.008972;-0.444275;0.895630
lI (342924) sensors;342739566;A;0.027070;0.012904;-0.063241
lI (342934) sensors;342753254;U;0.750912
lI (342939) sensors;342759457;O;-0.021057;-0.008484;-0.444153;0.895691
lI (342944) sensors;342759425;A;-0.015636;0.008233;0.011413
lI (342944) sensors;342769828;P;0.000000;0.000000;-17.000000
lI (342949) sensors;342769828;S;0.000000;0.000000
lI (342959) sensors;342779625;O;-0.020691;-0.008179;-0.444214;0.895630
lI (342959) sensors;342779543;A;0.041468;-0.002339;0.011679
lI (342979) sensors;342799554;O;-0.020508;-0.007874;-0.444397;0.895569
lI (342979) sensors;342799513;A;0.046868;0.037623;0.048991
lI (342984) sensors;342804997;B;119.933044
lI (342999) sensors;342818936;O;-0.020569;-0.007568;-0.444519;0.895508
lI (342999) sensors;342819056;A;0.052778;0.039086;-0.025415
lI (343019) sensors;342839263;O;-0.020630;-0.007446;-0.444641;0.895447
lI (343019) sensors;342839388;A;0.088623;0.056437;-0.026366
lI (343034) sensors;342853236;U;0.744943
lI (343039) sensors;342859413;O;-0.020447;-0.007385;-0.444641;0.895447
lI (343039) sensors;342859346;A;0.033893;0.063956;-0.026392
lI (343059) sensors;342879375;O;-0.019897;-0.007446;-0.444336;0.895630
lI (343059) sensors;342879434;A;-0.061328;0.061291;-0.002326
