Time;pv/sensors/flowX;pv/sensors/flowY;pv/sensors/gyroX;pv/sensors/gyroY;pv/sensors/gyroZ
1595512958287;;;0
1595512958290;;;;0
1595512958305;;;;;0
1595512958311;0
1595512958311;;0
1595512958361;;;0
1595512958361;;;;0
1595512958362;;;;;0
1595512958402;;;0
1595512958403;;;;0
1595512958403;;;;;0
1595512958406;0
1595512958407;;0
1595512958453;;;0
1595512958456;;;;0
1595512958472;;;;;0
1595512958488;0
1595512958488;;0
1595512958512;;;0
1595512958513;;;;0
1595512958513;;;;;0
1595512958598;;;0
1595512958605;;;;0
1595512958605;;;;;0
1595512958605;0
1595512958605;;0
1595512958656;;;0
1595512958666;;;;0
1595512958666;;;;;0
1595512958699;0
1595512958723;;0
1595512958724;;;0
1595512958727;;;;0
1595512958728;;;;;0
1595512958761;;;0
1595512958761;;;;0
1595512958763;;;;;0
1595512958807;0
1595512958812;;0
1595512958821;;;0
1595512958822;;;;0
1595512958822;;;;;0
1595512958885;;;0
1595512958885;;;;0
1595512958886;;;;;0
1595512958900;0
1595512958900;;0
1595512958934;;;0
1595512958934;;;;0
1595512958934;;;;;0
1595512959005;;;0
1595512959005;;;;0
1595512959006;;;;;0
1595512959023;0
1595512959023;;0
1595512959047;;;0
1595512959047;;;;0
1595512959047;;;;;0
1595512959087;0
1595512959088;;0
1595512959108;;;0
1595512959124;;;;0
1595512959125;;;;;0
1595512959175;;;0
1595512959190;;;;0.001953125
1595512959190;;;;;0.001953125
1595512959199;0
1595512959200;;0
1595512959253;;;0.001953125
1595512959254;;;;-0.001953125
1595512959256;;;;;0
1595512959303;0
1595512959305;;0
1595512959308;;;0.001953125
1595512959321;;;;0.001953125
1595512959322;;;;;0.00390625
1595512959364;;;0.001953125
1595512959367;;;;-0.001953125
1595512959372;;;;;0.005859375
1595512959402;0
1595512959403;;0
1595512959407;;;-0.005859375
1595512959421;;;;-0.001953125
1595512959423;;;;;-0.001953125
1595512959478;;;0.00390625
1595512959491;;;;0
1595512959492;;;;;0.005859375
1595512959504;0
1595512959504;;0
1595512959537;;;0
1595512959537;;;;-0.001953125
1595512959537;;;;;0
1595512959588;;;0.001953125
1595512959588;;;;0
1595512959614;;;;;-0.00390625
1595512959615;0
1595512959617;;0
1595512959654;;;0.001953125
1595512959654;;;;0.005859375
1595512959654;;;;;0
1595512959688;0
1595512959693;;0
1595512959707;;;-0.00390625
1595512959738;;;;0.00390625
1595512959738;;;;;0
1595512959780;;;0.009765625
1595512959781;;;;-0.001953125
1595512959782;;;;;-0.001953125
1595512959785;0
1595512959788;;0
1595512959833;;;0.005859375
1595512959833;;;;0.00390625
1595512959834;;;;;-0.001953125
1595512959890;0
1595512959908;;0
1595512959909;;;0.001953125
1595512959911;;;;0.00390625
1595512959911;;;;;0
1595512959973;;;0
1595512959975;;;;0.00390625
1595512959976;;;;;0.001953125
1595512960024;0
1595512960024;;0
1595512960026;;;0
1595512960028;;;;-0.001953125
1595512960028;;;;;-0.001953125
1595512960078;;;0.001953125
1595512960078;;;;-0.005859375
1595512960079;;;;;0.00390625
1595512960112;0
1595512960116;;0
1595512960120;;;-0.001953125
1595512960140;;;;-0.00390625
1595512960153;;;;;-0.00390625
1595512960191;0
1595512960191;;0
1595512960199;;;0
1595512960199;;;;0
1595512960199;;;;;0
1595512960291;;;0
1595512960305;;;;0
1595512960305;;;;;0
1595512960315;0
1595512960315;;0
1595512960322;;;0
1595512960324;;;;0
1595512960324;;;;;0
1595512960372;;;0
1595512960373;;;;0
1595512960387;;;;;0
1595512960398;0
1595512960401;;0
1595512960429;;;-0.009765625
1595512960433;;;;0.017578125
1595512960433;;;;;-0.025390625
1595512960487;0
1595512960488;;0
1595512960488;;;0.015625
1595512960507;;;;-0.072265625
1595512960510;;;;;-0.005859375
1595512960554;;;-0.0078125
1595512960555;;;;0.095703125
1595512960555;;;;;0.052734375
1595512960611;0
1595512960612;;0
1595512960620;;;0.53515625
1595512960620;;;;-0.03515625
1595512960620;;;;;-0.1640625
1595512960673;;;2.09179688
1595512960689;;;;-0.029296875
