I (20629) sensors;20455558;U;0.7078;B;991.864
I (20629) sensors;20464214;U;0.711993;;
I (20639) sensors;20466083;A;0;-0.015625;-0.042969
I (20649) sensors;20475904;A;0;-0.015625;-0.003906
I (20659) sensors;20485932;A;-0.035156;-0.015625;-0.003906
I (20669) sensors;20496038;A;0;-0.015625;0.035156
I (20679) sensors;20505966;A;0;0.023438;-0.042969
I (20689) sensors;20515962;A;0;-0.015625;0.035156
I (20699) sensors;20526022;A;0;0.023438;-0.042969
I (20709) sensors;20535943;A;0;0.023438;0.035156
I (20719) sensors;20545872;A;0;0.023438;-0.003906
I (20729) sensors;20555851;A;0;-0.015625;-0.003906
I (20729) sensors;20558535;B;991.865601;;
I (20729) sensors;20564211;U;0.706497;;
I (20739) sensors;20565487;A;0.039062;-0.015625;-0.003906
I (20749) sensors;20575815;A;0;-0.015625;0.035156
I (20759) sensors;20585829;A;0;0.023438;-0.042969
I (20769) sensors;20595736;A;0;-0.015625;-0.003906
I (20779) sensors;20605931;A;0.039062;-0.015625;-0.003906
I (20789) sensors;20615764;A;0.039062;-0.015625;0.035156
I (20799) sensors;20625635;A;0;-0.015625;-0.003906
I (20809) sensors;20635675;A;0;-0.015625;-0.003906
I (20819) sensors;20645745;A;0;-0.015625;-0.042969
I (20829) sensors;20655692;A;0;-0.015625;0.035156
I (20829) sensors;20659878;B;991.864624;;
I (20829) sensors;20664223;U;0.706325;;
I (20839) sensors;20665563;A;0;-0.015625;-0.042969
I (20849) sensors;20675394;A;0;-0.015625;0.035156
I (20859) sensors;20685606;A;0;-0.015625;-0.003906
I (20869) sensors;20695477;A;0;-0.015625;0.035156
I (20879) sensors;20705467;A;0;0.023438;-0.003906
I (20889) sensors;20715012;A;-0.035156;-0.015625;0.035156
I (20899) sensors;20725458;A;0;-0.015625;-0.003906
I (20909) sensors;20735408;A;-0.035156;-0.007812;0.035156
I (20919) sensors;20745387;A;0;0.03125;-0.003906
I (20929) sensors;20755484;A;0;-0.007812;0.035156
I (20929) sensors;20761505;B;991.871277;;
I (20929) sensors;20764209;U;0.71079;;
I (20939) sensors;20765414;A;0;-0.007812;-0.042969
I (20949) sensors;20775410;A;0;0.03125;0.035156
I (20959) sensors;20785461;A;0;-0.007812;-0.003906
I (20969) sensors;20795200;A;0;-0.007812;0.035156
I (20979) sensors;20805143;A;0;-0.007812;-0.042969
I (20989) sensors;20815181;A;0;-0.007812;-0.003906
I (20999) sensors;20824826;A;0;-0.007812;-0.003906
I (20999) sensors;20835135;A;0;0.03125;0.035156
I (21019) sensors;20845228;A;0;-0.007812;-0.003906
I (21029) sensors;20855113;A;0;-0.007812;-0.003906
I (21029) sensors;20862901;B;991.871277;;
I (21029) sensors;20864212;U;0.71079;;
I (21039) sensors;20864872;A;0;-0.007812;-0.042969
I (21049) sensors;20875249;A;0;-0.007812;0.035156
I (21059) sensors;20885087;A;0;-0.007812;-0.042969
I (21069) sensors;20895035;A;0;0.03125;-0.003906
I (21079) sensors;20904920;A;0;-0.007812;-0.003906
I (21089) sensors;20915148;A;0.039062;-0.007812;0.035156
I (21099) sensors;20925062;A;0;-0.007812;-0.003906
I (21099) sensors;20934588;A;0;-0.007812;-0.003906
I (21119) sensors;20945007;A;0.039062;-0.007812;-0.003906
I (21129) sensors;20954842;A;0;0.03125;-0.003906
I (21129) sensors;20964210;U;0.710447;;
I (21139) sensors;20964521;A;0;0.03125;-0.003906
I (21129) sensors;20964636;B;991.867981;;
I (21149) sensors;20975036;A;0;0.03125;-0.003906
I (21159) sensors;20984791;A;0;-0.007812;0.035156
I (21169) sensors;20994918;A;0;0.03125;0.035156
I (21179) sensors;21004733;A;0;0.03125;-0.003906
I (21179) sensors;21014855;A;0;-0.007812;0.035156
I (21189) sensors;21024751;A;0;0.03125;-0.003906
I (21209) sensors;21034760;A;0;0.03125;-0.003906
I (21219) sensors;21044529;A;0;-0.015625;-0.003906
I (21219) sensors;21054598;A;0;-0.015625;-0.003906
I (21229) sensors;21064197;U;0.706841;;
I (21239) sensors;21064827;A;0;-0.015625;-0.042969
I (21229) sensors;21066044;B;991.869629;;
I (21249) sensors;21074586;A;0;0.023438;0.035156
I (21259) sensors;21084930;A;0;0.023438;-0.003906
I (21259) sensors;21094537;A;0;-0.015625;0.035156
I (21269) sensors;21104682;A;0;-0.015625;-0.003906
I (21289) sensors;21114564;A;0;-0.015625;-0.003906
I (21299) sensors;21124576;A;0;0.023438;-0.003906
I (21299) sensors;21134610;A;0.039062;-0.015625;0.035156
I (21319) sensors;21144561;A;-0.035156;-0.015625;-0.003906
I (21319) sensors;21154286;A;0;0.023438;-0.003906
I (21329) sensors;21164373;U;0.703749;;
I (21339) sensors;21164391;A;0;-0.015625;-0.003906
I (21329) sensors;21167101;B;991.870605;;
I (21349) sensors;21174358;A;0;-0.015625;0.035156
I (21359) sensors;21184508;A;0;-0.015625;-0.003906
I (21369) sensors;21193914;A;0;-0.015625;-0.003906
I (21379) sensors;21204314;A;0;-0.015625;0.035156
I (21389) sensors;21214401;A;0;-0.015625;0.035156
I (21399) sensors;21224280;A;0;-0.015625;-0.003906
I (21399) sensors;21234182;A;0;0.023438;-0.003906
I (21419) sensors;21244167;A;0;-0.015625;-0.003906
I (21429) sensors;21254302;A;0;-0.015625;0.035156
I (21429) sensors;21264245;U;0.714912;;
I (21439) sensors;21264292;A;0;-0.015625;-0.042969
I (21439) sensors;21268768;B;991.872253;;
I (21439) sensors;21274281;A;0;-0.015625;0.035156
I (21459) sensors;21284045;A;0;0.023438;-0.003906
I (21469) sensors;21294069;A;0;-0.007812;-0.003906
I (21469) sensors;21303539;A;0;-0.007812;-0.003906
I (21479) sensors;21314050;A;0;-0.007812;0.035156
I (21489) sensors;21324119;A;0.039062;-0.007812;-0.003906
I (21509) sensors;21334009;A;0;0.03125;-0.003906
I (21519) sensors;21344004;A;0;-0.007812;-0.003906
I (21519) sensors;21353896;A;0;-0.007812;0.035156
I (21529) sensors;21363987;A;0;0.03125;-0.003906
I (21529) sensors;21364193;U;0.706325;;
I (21539) sensors;21370488;B;991.872253;;
I (21539) sensors;21373931;A;0;-0.007812;-0.003906
I (21559) sensors;21384025;A;0;0.03125;-0.003906
I (21559) sensors;21393852;A;0;0.03125;0.035156
I (21569) sensors;21403815;A;0;-0.007812;0.035156
I (21579) sensors;21413288;A;0;-0.007812;-0.003906
I (21589) sensors;21423862;A;0;-0.007812;-0.003906
I (21599) sensors;21433753;A;0;0.03125;0.035156
I (21609) sensors;21443917;A;0.039062;-0.007812;-0.003906
I (21619) sensors;21453797;A;0;-0.007812;0.035156
I (21629) sensors;21463690;A;0;-0.007812;-0.003906
I (21629) sensors;21464213;U;0.710275;;
I (21639) sensors;21471992;B;991.866272;;
I (21649) sensors;21473751;A;0;-0.007812;0.035156
I (21659) sensors;21483623;A;0.039062;-0.007812;-0.003906
I (21659) sensors;21493766;A;0;-0.007812;0.035156
I (21679) sensors;21503711;A;0;0.03125;0.027344
I (21689) sensors;21513594;A;0;0.03125;0.027344
I (21689) sensors;21523402;A;0;-0.007812;-0.011719
I (21699) sensors;21533654;A;0.039062;-0.007812;0.027344
I (21709) sensors;21543419;A;0.039062;-0.007812;-0.011719
I (21719) sensors;21553536;A;-0.007812;-0.007812;0.027344
I (21739) sensors;21563737;A;-0.007812;-0.007812;-0.050781
I (21729) sensors;21564211;U;0.710275;;
I (21739) sensors;21573385;B;991.864624;;
I (21739) sensors;21573588;A;-0.007812;0.03125;0.027344
I (21749) sensors;21583475;A;-0.007812;0.03125;-0.011719
I (21759) sensors;21593486;A;-0.007812;0.03125;0.027344
I (21769) sensors;21603446;A;-0.007812;-0.007812;-0.011719
I (21779) sensors;21613491;A;-0.007812;-0.007812;0.027344
I (21789) sensors;21623239;A;-0.007812;0.023438;-0.050781
I (21799) sensors;21633208;A;-0.007812;-0.015625;0.027344
I (21809) sensors;21643343;A;-0.007812;0.023438;-0.050781
