Time [s],Value,Parity Error,Framing Error
1.420855200,.,,
1.421896500,c,,
1.422937900,o,,
1.423979200,m,,
1.425020600,*,,
1.426061900,4,,
1.427103200,E,,
1.428144600,CR ,,
1.429185900,LF ,,
1.430227300,$,,
1.431268600,G,,
1.432310000,N,,
1.433351300,T,,
1.434392700,X,,
1.435434000,T,,
1.436475300,,,,
1.437516700,0,,
1.438558000,1,,
1.439599400,,,,
1.440640700,0,,
1.441682000,1,,
1.442723400,,,,
1.443764700,0,,
1.444806100,2,,
1.445847400,,,,
1.446888800,H,,
1.447930100,W,,
1.448971400,(SP),,
1.450012800,U,,
1.451054100,B,,
1.452095500,X,,
1.453136800,-,,
1.454178100,M,,
1.455219500,8,,
1.456260800,0,,
1.457302200,3,,
1.458343500,0,,
1.459384900,(SP),,
1.460426200,0,,
1.461467600,0,,
1.462508900,0,,
1.463550200,8,,
1.464591600,0,,
1.465632900,0,,
1.466674300,0,,
1.467715600,0,,
1.468756900,*,,
1.469798300,6,,
1.470839600,0,,
1.471881000,CR ,,
1.472922300,LF ,,
1.473963700,$,,
1.475005000,G,,
1.476046300,N,,
1.477087700,T,,
1.478129000,X,,
1.479170400,T,,
1.480211700,,,,
1.481253100,0,,
1.482294400,1,,
1.483335700,,,,
1.484377100,0,,
1.485418400,1,,
1.486459800,,,,
1.487501100,0,,
1.488542400,2,,
1.489583800,,,,
1.490625100,R,,
1.491666500,O,,
1.492707800,M,,
1.493749200,(SP),,
1.494790500,C,,
1.495831800,O,,
1.496873200,R,,
1.497914500,E,,
1.498955900,(SP),,
1.499997200,3,,
1.501038500,.,,
1.502079900,0,,
1.503121200,1,,
1.504162600,(SP),,
1.505203900,(,,
1.506245300,1,,
1.507286600,0,,
1.508328000,7,,
1.509369300,8,,
1.510410600,8,,
1.511452000,8,,
1.512493300,),,
1.513534700,*,,
1.514576000,2,,
1.515617300,B,,
1.516658700,CR ,,
1.517700000,LF ,,
1.518741400,$,,
1.519782700,G,,
1.520824100,N,,
1.521865400,T,,
1.522906700,X,,
1.523948100,T,,
1.524989400,,,,
1.526030800,0,,
1.527072100,1,,
1.528113500,,,,
1.529154800,0,,
1.530196100,1,,
1.531237500,,,,
1.532278800,0,,
1.533320200,2,,
1.534361500,,,,
1.535402800,F,,
1.536444200,W,,
1.537485500,V,,
1.538526900,E,,
1.539568200,R,,
1.540609600,=,,
1.541650900,S,,
1.542692200,P,,
1.543733600,G,,
1.544774900,(SP),,
1.545816300,3,,
1.546857600,.,,
1.547898900,0,,
1.548940300,1,,
1.549981600,*,,
1.551023000,4,,
1.552064300,6,,
1.553105700,CR ,,
1.554147000,LF ,,
1.555188400,$,,
1.556229700,G,,
1.557271000,N,,
1.558312400,T,,
1.559353700,X,,
1.560395100,T,,
1.561436400,,,,
1.562477700,0,,
1.563519100,1,,
1.564560400,,,,
1.565601800,0,,
1.566643100,1,,
1.567684500,,,,
1.568725800,0,,
1.569767100,2,,
1.570808500,,,,
1.571849800,P,,
1.572891200,R,,
1.573932500,O,,
1.574973900,T,,
1.576015200,V,,
1.577056500,E,,
1.578097900,R,,
1.579139200,=,,
1.580180600,1,,
1.581221900,8,,
1.582263200,.,,
1.583304600,0,,
1.584345900,0,,
1.585387300,*,,
1.586428600,1,,
1.587470000,1,,
1.588511300,CR ,,
1.589552600,LF ,,
1.590594000,$,,
1.591635300,G,,
1.592676700,N,,
1.593718000,T,,
1.594759300,X,,
1.595800700,T,,
1.596842000,,,,
1.597883400,0,,
1.598924700,1,,
